2 	0.005112	 0.000000 	 0.016486
4 	0.023289	 0.000000 	 0.015045
8 	0.007470	 0.008420 	 0.016297
16 	0.010948	 0.026224 	 0.016710
32 	0.007111	 0.011164 	 0.010733
64 	0.007426	 0.021644 	 0.015485
128 	0.006486	 0.017081 	 0.006982
256 	0.003625	 0.007181 	 0.006307
512 	0.002473	 0.005353 	 0.003979
1024 	0.001828	 0.004303 	 0.003050
2048 	0.001319	 0.003170 	 0.002339
4096 	0.000926	 0.002142 	 0.001621
8192 	0.000651	 0.001400 	 0.001146
16384 	0.000454	 0.001037 	 0.000783
32768 	0.000325	 0.000735 	 0.000555
65536 	0.000227	 0.000508 	 0.000395
