single precision
i = 1  x = 1.50000000000000000000e+00  eps_sgl = 5.00000000000000000000e-01 
i = 2  x = 1.25000000000000000000e+00  eps_sgl = 2.50000000000000000000e-01 
i = 3  x = 1.12500000000000000000e+00  eps_sgl = 1.25000000000000000000e-01 
i = 4  x = 1.06250000000000000000e+00  eps_sgl = 6.25000000000000000000e-02 
i = 5  x = 1.03125000000000000000e+00  eps_sgl = 3.12500000000000000000e-02 
i = 6  x = 1.01562500000000000000e+00  eps_sgl = 1.56250000000000000000e-02 
i = 7  x = 1.00781250000000000000e+00  eps_sgl = 7.81250000000000000000e-03 
i = 8  x = 1.00390625000000000000e+00  eps_sgl = 3.90625000000000000000e-03 
i = 9  x = 1.00195312500000000000e+00  eps_sgl = 1.95312500000000000000e-03 
i = 10  x = 1.00097656250000000000e+00  eps_sgl = 9.76562500000000000000e-04 
i = 11  x = 1.00048828125000000000e+00  eps_sgl = 4.88281250000000000000e-04 
i = 12  x = 1.00024414062500000000e+00  eps_sgl = 2.44140625000000000000e-04 
i = 13  x = 1.00012207031250000000e+00  eps_sgl = 1.22070312500000000000e-04 
i = 14  x = 1.00006103515625000000e+00  eps_sgl = 6.10351562500000000000e-05 
i = 15  x = 1.00003051757812500000e+00  eps_sgl = 3.05175781250000000000e-05 
i = 16  x = 1.00001525878906250000e+00  eps_sgl = 1.52587890625000000000e-05 
i = 17  x = 1.00000762939453125000e+00  eps_sgl = 7.62939453125000000000e-06 
i = 18  x = 1.00000381469726562500e+00  eps_sgl = 3.81469726562500000000e-06 
i = 19  x = 1.00000190734863281250e+00  eps_sgl = 1.90734863281250000000e-06 
i = 20  x = 1.00000095367431640625e+00  eps_sgl = 9.53674316406250000000e-07 
i = 21  x = 1.00000047683715820312e+00  eps_sgl = 4.76837158203125000000e-07 
i = 22  x = 1.00000023841857910156e+00  eps_sgl = 2.38418579101562500000e-07 
i = 23  x = 1.00000011920928955078e+00  eps_sgl = 1.19209289550781250000e-07 
i = 24  x = 1.00000000000000000000e+00  eps_sgl = 5.96046447753906250000e-08 
double precision
j = 1, y = 1.50000000000000000000e+00 eps_dbl = 5.00000000000000000000e-01
j = 2, y = 1.25000000000000000000e+00 eps_dbl = 2.50000000000000000000e-01
j = 3, y = 1.12500000000000000000e+00 eps_dbl = 1.25000000000000000000e-01
j = 4, y = 1.06250000000000000000e+00 eps_dbl = 6.25000000000000000000e-02
j = 5, y = 1.03125000000000000000e+00 eps_dbl = 3.12500000000000000000e-02
j = 6, y = 1.01562500000000000000e+00 eps_dbl = 1.56250000000000000000e-02
j = 7, y = 1.00781250000000000000e+00 eps_dbl = 7.81250000000000000000e-03
j = 8, y = 1.00390625000000000000e+00 eps_dbl = 3.90625000000000000000e-03
j = 9, y = 1.00195312500000000000e+00 eps_dbl = 1.95312500000000000000e-03
j = 10, y = 1.00097656250000000000e+00 eps_dbl = 9.76562500000000000000e-04
j = 11, y = 1.00048828125000000000e+00 eps_dbl = 4.88281250000000000000e-04
j = 12, y = 1.00024414062500000000e+00 eps_dbl = 2.44140625000000000000e-04
j = 13, y = 1.00012207031250000000e+00 eps_dbl = 1.22070312500000000000e-04
j = 14, y = 1.00006103515625000000e+00 eps_dbl = 6.10351562500000000000e-05
j = 15, y = 1.00003051757812500000e+00 eps_dbl = 3.05175781250000000000e-05
j = 16, y = 1.00001525878906250000e+00 eps_dbl = 1.52587890625000000000e-05
j = 17, y = 1.00000762939453125000e+00 eps_dbl = 7.62939453125000000000e-06
j = 18, y = 1.00000381469726562500e+00 eps_dbl = 3.81469726562500000000e-06
j = 19, y = 1.00000190734863281250e+00 eps_dbl = 1.90734863281250000000e-06
j = 20, y = 1.00000095367431640625e+00 eps_dbl = 9.53674316406250000000e-07
j = 21, y = 1.00000047683715820312e+00 eps_dbl = 4.76837158203125000000e-07
j = 22, y = 1.00000023841857910156e+00 eps_dbl = 2.38418579101562500000e-07
j = 23, y = 1.00000011920928955078e+00 eps_dbl = 1.19209289550781250000e-07
j = 24, y = 1.00000005960464477539e+00 eps_dbl = 5.96046447753906250000e-08
j = 25, y = 1.00000002980232238770e+00 eps_dbl = 2.98023223876953125000e-08
j = 26, y = 1.00000001490116119385e+00 eps_dbl = 1.49011611938476562500e-08
j = 27, y = 1.00000000745058059692e+00 eps_dbl = 7.45058059692382812500e-09
j = 28, y = 1.00000000372529029846e+00 eps_dbl = 3.72529029846191406250e-09
j = 29, y = 1.00000000186264514923e+00 eps_dbl = 1.86264514923095703125e-09
j = 30, y = 1.00000000093132257462e+00 eps_dbl = 9.31322574615478515625e-10
j = 31, y = 1.00000000046566128731e+00 eps_dbl = 4.65661287307739257812e-10
j = 32, y = 1.00000000023283064365e+00 eps_dbl = 2.32830643653869628906e-10
j = 33, y = 1.00000000011641532183e+00 eps_dbl = 1.16415321826934814453e-10
j = 34, y = 1.00000000005820766091e+00 eps_dbl = 5.82076609134674072266e-11
j = 35, y = 1.00000000002910383046e+00 eps_dbl = 2.91038304567337036133e-11
j = 36, y = 1.00000000001455191523e+00 eps_dbl = 1.45519152283668518066e-11
j = 37, y = 1.00000000000727595761e+00 eps_dbl = 7.27595761418342590332e-12
j = 38, y = 1.00000000000363797881e+00 eps_dbl = 3.63797880709171295166e-12
j = 39, y = 1.00000000000181898940e+00 eps_dbl = 1.81898940354585647583e-12
j = 40, y = 1.00000000000090949470e+00 eps_dbl = 9.09494701772928237915e-13
j = 41, y = 1.00000000000045474735e+00 eps_dbl = 4.54747350886464118958e-13
